4257028;26015912;2490198494;
4257028;2490198494;26015910;
4257028;26015910;128580399;
4257028;128580399;4161788736;
4259341;26015892;25532204;
4259341;25532204;3522106301;
4259341;3522106301;3522106300;
4259341;3522106300;112597522;
4259341;112597522;3522106294;
4259341;3522106294;25532205;
4259341;25532205;3522105991;
4259341;3522105991;112597525;
4259343;26015879;3092764697;
4259343;3092764697;3713666408;
4259343;3713666408;3092764705;
4259343;3092764705;3713666409;
4259343;3713666409;25532146;
4259343;25532146;3713666412;
4259343;3713666412;3092764699;
4259343;3092764699;3713666415;
4259343;3713666415;25532145;
4259343;25532145;3713666420;
4259343;3713666420;3092764710;
4259343;3092764710;25532144;
4259343;25532144;3713667325;
4259343;3713667325;26122713;
4259344;26122714;3713667326;
4259344;3713667326;25532193;
4259344;25532193;3713666418;
4259344;3713666418;25532222;
4259345;26122714;25532197;
4259345;25532197;3713667327;
4259345;3713667327;3713666423;
4259345;3713666423;3713666422;
4259345;3713666422;25532199;
4259345;25532199;3713666421;
4259345;3713666421;3713666419;
4259345;3713666419;25532200;
4259345;25532200;3713666416;
4259345;3713666416;3713666414;
4259345;3713666414;3713666413;
4259345;3713666413;25532201;
4259345;25532201;25532202;
4259345;25532202;26015889;
4306658;26122781;3713963961;
4306658;3713963961;3713963958;
4306658;3713963958;3713963955;
4306658;3713963955;3713963954;
4306658;3713963954;26057801;
4306660;26122784;3713963423;
4306660;3713963423;112652825;
4306660;112652825;3713963419;
4306660;3713963419;3713963417;
4306660;3713963417;3713963414;
4306660;3713963414;26057776;
4306660;26057776;3713963410;
4306660;3713963410;112652828;
4306660;112652828;3713963406;
4306660;3713963406;26057774;
4306660;26057774;3713963404;
4306660;3713963404;112652829;
4306660;112652829;3713963407;
4306660;3713963407;26057772;
4306660;26057772;3713963411;
4306660;3713963411;3713963412;
4306660;3713963412;112652830;
4306660;112652830;3713963418;
4306660;3713963418;3713963420;
4306660;3713963420;26057769;
4306660;26057769;3713963421;
4306660;3713963421;3713963422;
4306660;3713963422;112652831;
4306660;112652831;3713963424;
4306660;3713963424;26057767;
4306660;26057767;112652832;
4306660;112652832;3713963928;
4306660;3713963928;3713963929;
4306660;3713963929;3713963930;
4306660;3713963930;26057764;
4306660;26057764;112652833;
4306660;112652833;26057762;
4306660;26057762;3713963934;
4306660;3713963934;3713963933;
4306660;3713963933;3713963932;
4306660;3713963932;112652932;
4306661;26057853;3713963415;
4306661;3713963415;3713963413;
4306661;3713963413;26057854;
4306661;26057854;3713963408;
4306661;3713963408;112654450;
4306661;112654450;3713963403;
4306661;3713963403;3713963401;
4306661;3713963401;112654452;
4306661;112654452;3713963399;
4306661;3713963399;26057855;
4306661;26057855;3713963397;
4306661;3713963397;112653914;
4306661;112653914;3713963395;
4306661;3713963395;26057856;
4306661;26057856;3713963392;
4306661;3713963392;112653915;
4306661;112653915;3713963393;
4306661;3713963393;3713963394;
4306661;3713963394;26057857;
4306661;26057857;3713963396;
4306661;3713963396;112653406;
4306661;112653406;3713963398;
4306661;3713963398;26057858;
4306661;26057858;3713963400;
4306661;3713963400;26122720;
4306662;3139458027;3139458019;
4306662;3139458019;26057847;
4306662;26057847;26057848;
4306662;26057848;3139458026;
4306662;3139458026;3713963925;
4306662;3713963925;3713963926;
4306662;3713963926;26057849;
4306662;26057849;3713963931;
4306662;3713963931;3713963935;
4306662;3713963935;3713963938;
4306662;3713963938;26057850;
4306662;26057850;3713963941;
4306662;3713963941;26057852;
4306662;26057852;26122724;
13797599;128560448;4573825411;
13797599;4573825411;349907807;
13797599;349907807;4573825412;
13797599;4573825412;4573825413;
13797599;4573825413;4573825414;
13797599;4573825414;128560449;
13797599;128560449;5329555464;
